"County","FIPS","Year","Race","Type","Measure Type","Variable","Value"
"Connecticut","09","1999","All","Fetal","Number","Fetal Mortality",234
"Connecticut","09","1999","All","Fetal","Rate","Fetal Mortality",5.4
"Connecticut","09","1999","All","Infant","Number","Fetal Mortality",264
"Connecticut","09","1999","All","Infant","Rate","Fetal Mortality",6.1
"Connecticut","09","1999","All","Neonatal","Number","Fetal Mortality",206
"Connecticut","09","1999","All","Neonatal","Rate","Fetal Mortality",4.8
"Connecticut","09","1999","All","Postneonatal","Number","Fetal Mortality",58
"Connecticut","09","1999","All","Postneonatal","Rate","Fetal Mortality",1.3
"Connecticut","09","1999","Black or African American","Fetal","Number","Fetal Mortality",46
"Connecticut","09","1999","Black or African American","Infant","Number","Fetal Mortality",56
"Connecticut","09","1999","Hispanic or Latino","Fetal","Number","Fetal Mortality",48
"Connecticut","09","1999","Hispanic or Latino","Infant","Number","Fetal Mortality",49
"Connecticut","09","1999","Other","Fetal","Number","Fetal Mortality",15
"Connecticut","09","1999","Other","Infant","Number","Fetal Mortality",-9999
"Connecticut","09","1999","White","Fetal","Number","Fetal Mortality",173
"Connecticut","09","1999","White","Infant","Number","Fetal Mortality",201
"Connecticut","09","2000","All","Fetal","Number","Fetal Mortality",225
"Connecticut","09","2000","All","Fetal","Rate","Fetal Mortality",5.2
"Connecticut","09","2000","All","Infant","Number","Fetal Mortality",283
"Connecticut","09","2000","All","Infant","Rate","Fetal Mortality",6.6
"Connecticut","09","2000","All","Neonatal","Number","Fetal Mortality",214
"Connecticut","09","2000","All","Neonatal","Rate","Fetal Mortality",5
"Connecticut","09","2000","All","Postneonatal","Number","Fetal Mortality",69
"Connecticut","09","2000","All","Postneonatal","Rate","Fetal Mortality",1.6
"Connecticut","09","2000","Black or African American","Fetal","Number","Fetal Mortality",57
"Connecticut","09","2000","Black or African American","Infant","Number","Fetal Mortality",76
"Connecticut","09","2000","Hispanic or Latino","Fetal","Number","Fetal Mortality",40
"Connecticut","09","2000","Hispanic or Latino","Infant","Number","Fetal Mortality",60
"Connecticut","09","2000","Other","Fetal","Number","Fetal Mortality",15
"Connecticut","09","2000","Other","Infant","Number","Fetal Mortality",6
"Connecticut","09","2000","White","Fetal","Number","Fetal Mortality",152
"Connecticut","09","2000","White","Infant","Number","Fetal Mortality",198
"Connecticut","09","2001","All","Fetal","Number","Fetal Mortality",200
"Connecticut","09","2001","All","Fetal","Rate","Fetal Mortality",4.7
"Connecticut","09","2001","All","Infant","Number","Fetal Mortality",259
"Connecticut","09","2001","All","Infant","Rate","Fetal Mortality",6.1
"Connecticut","09","2001","All","Neonatal","Number","Fetal Mortality",193
"Connecticut","09","2001","All","Neonatal","Rate","Fetal Mortality",4.5
"Connecticut","09","2001","All","Postneonatal","Number","Fetal Mortality",66
"Connecticut","09","2001","All","Postneonatal","Rate","Fetal Mortality",1.6
"Connecticut","09","2001","Black or African American","Fetal","Number","Fetal Mortality",46
"Connecticut","09","2001","Black or African American","Infant","Number","Fetal Mortality",83
"Connecticut","09","2001","Hispanic or Latino","Fetal","Number","Fetal Mortality",33
"Connecticut","09","2001","Hispanic or Latino","Infant","Number","Fetal Mortality",43
"Connecticut","09","2001","Other","Fetal","Number","Fetal Mortality",9
"Connecticut","09","2001","Other","Infant","Number","Fetal Mortality",6
"Connecticut","09","2001","White","Fetal","Number","Fetal Mortality",144
"Connecticut","09","2001","White","Infant","Number","Fetal Mortality",160
"Connecticut","09","2002","All","Fetal","Number","Fetal Mortality",228
"Connecticut","09","2002","All","Fetal","Rate","Fetal Mortality",5.4
"Connecticut","09","2002","All","Infant","Number","Fetal Mortality",274
"Connecticut","09","2002","All","Infant","Rate","Fetal Mortality",6.5
"Connecticut","09","2002","All","Neonatal","Number","Fetal Mortality",198
"Connecticut","09","2002","All","Neonatal","Rate","Fetal Mortality",4.7
"Connecticut","09","2002","All","Postneonatal","Number","Fetal Mortality",76
"Connecticut","09","2002","All","Postneonatal","Rate","Fetal Mortality",1.8
"Connecticut","09","2002","Black or African American","Fetal","Number","Fetal Mortality",57
"Connecticut","09","2002","Black or African American","Infant","Number","Fetal Mortality",73
"Connecticut","09","2002","Hispanic or Latino","Fetal","Number","Fetal Mortality",37
"Connecticut","09","2002","Hispanic or Latino","Infant","Number","Fetal Mortality",48
"Connecticut","09","2002","Other","Fetal","Number","Fetal Mortality",9
